iteration,expected_ns,actual_ns,jitter_ns
543,1244982916315634,1244982916326565,10931
544,1244983016315634,1244983016326955,11321
545,1244983116315634,1244983116325599,9965
546,1244983216315634,1244983216326692,11058
547,1244983316315634,1244983316325552,9918
548,1244983416315634,1244983416325890,10256
549,1244983516315634,1244983516325446,9812
550,1244983616315634,1244983616325318,9684
551,1244983716315634,1244983716326608,10974
552,1244983816315634,1244983816325325,9691
553,1244983916315634,1244983916326387,10753
554,1244984016315634,1244984016326641,11007
555,1244984116315634,1244984116326585,10951
556,1244984216315634,1244984216326661,11027
557,1244984316315634,1244984316326530,10896
558,1244984416315634,1244984416326751,11117
559,1244984516315634,1244984516326289,10655
560,1244984616315634,1244984616325553,9919
561,1244984716315634,1244984716326735,11101
562,1244984816315634,1244984816326077,10443
563,1244984916315634,1244984916326774,11140
564,1244985016315634,1244985016326703,11069
565,1244985116315634,1244985116326653,11019
566,1244985216315634,1244985216326594,10960
567,1244985316315634,1244985316326734,11100
568,1244985416315634,1244985416326677,11043
569,1244985516315634,1244985516326800,11166
570,1244985616315634,1244985616326559,10925
571,1244985716315634,1244985716326778,11144
572,1244985816315634,1244985816326785,11151
573,1244985916315634,1244985916326545,10911
574,1244986016315634,1244986016326649,11015
575,1244986116315634,1244986116326740,11106
576,1244986216315634,1244986216326676,11042
577,1244986316315634,1244986316326797,11163
578,1244986416315634,1244986416326143,10509
579,1244986516315634,1244986516325639,10005
580,1244986616315634,1244986616325552,9918
581,1244986716315634,1244986716326814,11180
582,1244986816315634,1244986816326423,10789
583,1244986916315634,1244986916325609,9975
584,1244987016315634,1244987016326702,11068
585,1244987116315634,1244987116325594,9960
586,1244987216315634,1244987216326730,11096
587,1244987316315634,1244987316326603,10969
588,1244987416315634,1244987416326000,10366
589,1244987516315634,1244987516325443,9809
590,1244987616315634,1244987616325378,9744
591,1244987716315634,1244987716326872,11238
592,1244987816315634,1244987816326585,10951
593,1244987916315634,1244987916325618,9984
594,1244988016315634,1244988016325779,10145
595,1244988116315634,1244988116326725,11091
596,1244988216315634,1244988216326848,11214
597,1244988316315634,1244988316326747,11113
598,1244988416315634,1244988416326987,11353
599,1244988516315634,1244988516326688,11054
600,1244988616315634,1244988616325537,9903
601,1244988716315634,1244988716326685,11051
602,1244988816315634,1244988816326545,10911
603,1244988916315634,1244988916326764,11130
604,1244989016315634,1244989016326778,11144
605,1244989116315634,1244989116326656,11022
606,1244989216315634,1244989216326640,11006
607,1244989316315634,1244989316326701,11067
608,1244989416315634,1244989416326719,11085
609,1244989516315634,1244989516326675,11041
610,1244989616315634,1244989616326523,10889
611,1244989716315634,1244989716326826,11192
612,1244989816315634,1244989816326431,10797
613,1244989916315634,1244989916326622,10988
614,1244990016315634,1244990016326352,10718
615,1244990116315634,1244990116326772,11138
616,1244990216315634,1244990216326822,11188
617,1244990316315634,1244990316326763,11129
618,1244990416315634,1244990416326810,11176
619,1244990516315634,1244990516326793,11159
620,1244990616315634,1244990616326702,11068
621,1244990716315634,1244990716326793,11159
622,1244990816315634,1244990816326797,11163
623,1244990916315634,1244990916326858,11224
624,1244991016315634,1244991016326693,11059
625,1244991116315634,1244991116326919,11285
626,1244991216315634,1244991216326882,11248
627,1244991316315634,1244991316322997,7363
628,1244991416315634,1244991416327162,11528
629,1244991516315634,1244991516326907,11273
630,1244991616315634,1244991616326519,10885
631,1244991716315634,1244991716327006,11372
632,1244991816315634,1244991816326472,10838
633,1244991916315634,1244991916326504,10870
634,1244992016315634,1244992016326602,10968
635,1244992116315634,1244992116326927,11293
636,1244992216315634,1244992216326896,11262
637,1244992316315634,1244992316326665,11031
638,1244992416315634,1244992416326950,11316
639,1244992516315634,1244992516326703,11069
640,1244992616315634,1244992616326737,11103
641,1244992716315634,1244992716326636,11002
642,1244992816315634,1244992816326824,11190
643,1244992916315634,1244992916326618,10984
644,1244993016315634,1244993016326780,11146
645,1244993116315634,1244993116326701,11067
646,1244993216315634,1244993216326887,11253
647,1244993316315634,1244993316326593,10959
648,1244993416315634,1244993416327071,11437
649,1244993516315634,1244993516326688,11054
650,1244993616315634,1244993616326791,11157
651,1244993716315634,1244993716327023,11389
652,1244993816315634,1244993816326516,10882
653,1244993916315634,1244993916326618,10984
654,1244994016315634,1244994016326462,10828
655,1244994116315634,1244994116326813,11179
656,1244994216315634,1244994216326681,11047
657,1244994316315634,1244994316326680,11046
658,1244994416315634,1244994416327018,11384
659,1244994516315634,1244994516326645,11011
660,1244994616315634,1244994616325441,9807
661,1244994716315634,1244994716326505,10871
662,1244994816315634,1244994816325541,9907
663,1244994916315634,1244994916326625,10991
664,1244995016315634,1244995016332629,16995
665,1244995116315634,1244995116327583,11949
666,1244995216315634,1244995216328492,12858
667,1244995316315634,1244995316326557,10923
668,1244995416315634,1244995416326783,11149
669,1244995516315634,1244995516325876,10242
670,1244995616315634,1244995616325583,9949
671,1244995716315634,1244995716327081,11447
672,1244995816315634,1244995816326552,10918
673,1244995916315634,1244995916325530,9896
674,1244996016315634,1244996016325348,9714
675,1244996116315634,1244996116325519,9885
676,1244996216315634,1244996216325944,10310
677,1244996316315634,1244996316326856,11222
678,1244996416315634,1244996416326871,11237
679,1244996516315634,1244996516325652,10018
680,1244996616315634,1244996616325636,10002
681,1244996716315634,1244996716326699,11065
682,1244996816315634,1244996816325628,9994
683,1244996916315634,1244996916325668,10034
684,1244997016315634,1244997016326757,11123
685,1244997116315634,1244997116326519,10885
686,1244997216315634,1244997216326635,11001
687,1244997316315634,1244997316326607,10973
688,1244997416315634,1244997416325945,10311
689,1244997516315634,1244997516326581,10947
690,1244997616315634,1244997616325713,10079
691,1244997716315634,1244997716326973,11339
692,1244997816315634,1244997816325617,9983
693,1244997916315634,1244997916325729,10095
694,1244998016315634,1244998016325598,9964
695,1244998116315634,1244998116326878,11244
696,1244998216315634,1244998216326452,10818
697,1244998316315634,1244998316326692,11058
698,1244998416315634,1244998416327163,11529
699,1244998516315634,1244998516325708,10074
700,1244998616315634,1244998616325734,10100
701,1244998716315634,1244998716326398,10764
702,1244998816315634,1244998816325606,9972
703,1244998916315634,1244998916325582,9948
704,1244999016315634,1244999016326674,11040
705,1244999116315634,1244999116326666,11032
706,1244999216315634,1244999216325505,9871
707,1244999316315634,1244999316326843,11209
708,1244999416315634,1244999416326048,10414
709,1244999516315634,1244999516326704,11070
710,1244999616315634,1244999616325320,9686
711,1244999716315634,1244999716326614,10980
712,1244999816315634,1244999816325316,9682
713,1244999916315634,1244999916325492,9858
714,1245000016315634,1245000016325412,9778
715,1245000116315634,1245000116326731,11097
716,1245000216315634,1245000216326385,10751
717,1245000316315634,1245000316326577,10943
718,1245000416315634,1245000416326797,11163
719,1245000516315634,1245000516325653,10019
720,1245000616315634,1245000616325431,9797
721,1245000716315634,1245000716325617,9983
722,1245000816315634,1245000816325539,9905
723,1245000916315634,1245000916325627,9993
724,1245001016315634,1245001016326627,10993
725,1245001116315634,1245001116326482,10848
726,1245001216315634,1245001216325650,10016
727,1245001316315634,1245001316326676,11042
728,1245001416315634,1245001416326703,11069
729,1245001516315634,1245001516325591,9957
